Username,Password,Hakbatza,Class
Ron,OHa6KPJXay,3,9
Nirit,phbm3pHp42,2,8
Shaked,shYe2kijwx,2,9
Idan,oBiuwz6D9A,2,1
Tova,1l6f44RGjH,3,6
Shoham,AWBero3vVH,1,1
Liat,SaErSzfFzL,2,1
Oz,0CZi8OSVjo,3,8
Inbar,jc8HBSSp2M,2,10
Yitzhak,1RB8okNXPS,3,3
Yigal,oBc8Jubyfk,1,4
Iris,VtQQlk1H0N,1,10
Rachel,PoAECZEKTZ,3,7
Dror,msC30ZzX7g,2,9
Shira,fifObkPOKh,1,3
Ami,d6e8k973Cq,1,2
Avital,CfBqPUBi8X,1,2
Michal,aHJKMQAItv,2,1
Yariv,hzqZh4GdOL,2,9
Yair,AQEBr6yvcI,3,8
Hila,XBh7DDwlCg,3,8
Zohar,ZWrKJK9j3E,3,8
Gal,pCrOjiWf1P,2,10
Shlomit,h6j4yx5jLM,3,2
Sapir,YQzTwmHk4W,1,6
Einav,uw5pQ8TgP3,1,11
Moran,lP1memVw5O,1,2
Matan,HlmfXzz54Z,1,6
Nimrod,123qoSSOTZ,3,12
Yael,oBjPy0KtJt,3,5
Nir,oRdzZ3avVe,2,10
Eran,VHOjNM98Vg,1,8
Asaf,azUKJD5RjW,3,5
Chen,12Ypz5TozM,3,10
Roi,1GCxbDzgfN,1,6
Tom,ihJYqHtiVY,2,5
Lilach,MwlJrqITN4,2,5
Yaniv,HRxn2GTad8,3,4
Eli,FRXiNzwr5o,3,3
Guy,zop9yOYpo6,2,4
Yossi,ebPDOiIFBS,2,10
Eitan,w0XnMQXjJu,1,11
Stav,qsTeIA2y1i,2,11
Adi,1TI2s1C3qO,3,8
Yoni,di1POfqE5Q,1,5
Shulamit,2UE4eP5bWm,2,3
Kfir,dnZ8DGhvvu,3,7
Ofira,N9lhKHgz8B,2,2
Vered,crSrNImZ9M,3,5
Aviad,2jO1YA2lWy,3,10
Keren,BHhxoBJKUk,3,10
Arik,wjbqT3MN5B,3,4
Omer,XcVskKWqE1,1,12
Avi,2wJg4LWeWz,3,4
Hadar,nXU7RDUJVD,3,5
Anat,YH6t152tWC,2,4
Oren,ASIm59sC01,3,7
Maya,MXMWGY3N6T,1,10
Yiftach,AJYBdcmnQd,2,2
Yuval,0bRAHCgaUo,1,4
Ronen,hGbk3HYX6v,2,12
Tuvia,udVPapr54g,1,5
Dana,s8jegcDzFX,3,2
Orly,BGOCGx6TSw,1,2
Yaeli,IhdBMeziUE,1,11
Yfat,whS5xnLQn0,1,12
Sivan,4OpEIF97FP,2,2
Yifat,PyGaz9cbwP,1,1
Yoav,7rJQJbUAQe,2,12
Osnat,007YgQ1UPX,2,5
Shir,ugQdc4TbuH,1,10
Alona,JIsnHCGaQ6,1,2
Gadi,J71b5mP1Lb,3,1
Sharon,lQ7wWOG5QY,3,6
Oded,dOP29r6p0w,2,6
Lior,aA1m2codw5,2,12
Eyal,zGpBWZ6QId,2,7
Itai,9tJlVyOi0O,1,2
Shmuel,Z66JD3oSjX,2,8
Avraham,35eD1VRmuv,2,7
Shlomo,X8CVhHFZTo,3,4
Noga,kjdvRjTmI1,1,10
Amir,YO7xxuqO5a,2,1
Bar,a3mi8JnHrl,1,8
Noa,ZtP6rm2cDS,1,12
Ofir,gvcALL9srp,2,9
Tomer,9o0ptf32aC,1,6
Amit,FVAN8H3gFU,3,2
Yehuda,oxaaShYH76,1,5
Shay,H6ETfatZda,1,3
Tal,nYgNKvhsU0,3,12
Esti,gQ5LZoMieB,1,12
Shani,bkEZeiEUwX,1,3
Yonatan,EdnKRo47Cw,2,1
Amalia,5LapRMVVF5,2,10
Dikla,q9ErP80pYb,3,11
Tali,5xRPta0Kxk,3,10
Amira,JAmsw2lWJk,2,12
Tamar,ASAeLTfMH3,3,12
Amos,QGJajinmwd,1,1
