Username,Password,Hakbatza,Class
user1,123456,1,1
Amram6787,SkJqFL1v9X,2,6
Shani7964,IEYtRqlAoA,2,3
Sarit6840,9mgEo5iZ9q,2,6
Irit9043,0OX20EJYtD,3,3
Esti,cRsmuqAMRc,3,5
Yiftach1646,9JIowicsZl,1,5
Shmuel7323,Sj7Ig0I9NL,3,1
Avi6572,sGlFhClRxY,1,9
Shlomo8784,rtjMwKJwGZ,2,3
Oz9891,jydDSQtsLT,1,5
Yehudit7031,xJF1H7ZqAM,1,6
Shay,vCMh1hGZbY,2,4
Rachel2818,QFAqe6sLRO,2,12
Ziva,FiT3KFAi1E,2,6
Ron,dpRJAYnQ6C,2,5
Tali,aBxGB0lpGD,3,4
Dudu5007,zQ7mIvZSNj,2,8
Bracha3350,FQ4pCjeVsF,2,11
Yardena,RAVbuJ7ARn,1,1
Avital1524,TOHmKmP0d8,2,7
Yfat9204,eZLqlAa73f,2,4
Eli4997,fGeoAwIyLE,1,11
Ami,e70hTfjY0g,1,3
Shaked,JatpMcHY1I,1,12
Iris5663,pu6uop7XtJ,2,2
Kfir,fcMwezUFyP,2,1
Chaya,cIn9CFZrHY,3,3
Chen4286,25E1u8Sdtp,3,7
Shirley3729,0TD0Pnn68B,3,7
Vardit7486,YHDaaOAjOn,2,5
Nimrod6178,SLVTw4ct2z,1,10
Yitzhak6530,KLoEhzNWrq,3,5
Amira5100,4ybbi4rnU9,3,12
Eitan,m0ZUt7KOv0,3,7
Yocheved3774,DTnuRDhRgG,3,3
Tomer,aKYgU0L19k,2,5
Hadar2614,biP71RzLn3,1,10
Ilanit657,y60vXgUs6X,2,9
Mira,igQRDksc3g,3,3
Dana5937,9Y5AHrRzBY,3,2
Yoni3390,jFo4vfWriC,3,9
Oded8989,vM8NW616Kh,1,1
Vardit,QzSUuaS564,3,8
Mira8697,EUcGqL3oAF,1,9
Michal7894,nXdy4jKGSc,2,4
Itai8410,KDzUd0VU74,1,9
Shoham,XsBTapdRCc,3,6
Maya6459,MPemGrxxaK,3,7
Stav,8TezwxKLSX,3,5
Yoel1675,C9rtFgThgA,3,1
Natan,0G1cCdzD1P,1,11
Shir3692,hun4yChuCL,1,7
Yael,l2i0Lq1yxm,1,1
Nechama7436,EyOdAmqWnc,2,2
Yardena7904,uNaccn3Xr2,2,9
Shira7763,UZoqOjAhG9,2,4
Yehoshua9860,K3FzT8mdg9,3,2
Ilanit8016,IeLZyI0Uxl,2,2
Chen,8UqEQCrIjH,2,8
Nechama4630,zBD4epasvq,3,10
Moran,cx5JFejoiP,1,11
Ronen,DkJ4e9iIAt,1,3
Avraham,lG3ohqsyPR,3,8
Sivan6470,1W5SJ0fpMJ,1,12
Omer,iZXkHxjZV8,1,8
Yanai948,LhinS8hDct,2,7
Ophir,ekaxmUPenC,3,3
Oded4632,O7ko0cQwyz,3,11
